"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
136,"Grupa Azoty Zakłady Azotowe Puławy","-88075.00","550.00","-0.10","-0.05","1149.00","chemicals and health products",0,"low"
137,"Grupa Azoty Zakłady Chemiczne Police","-65729.00","-2576.00","-0.11","-0.02","170.00","chemicals and health products",0,"low"
138,"Grupa Kęty","290000.00","-10000.00","17.00","6.60","523000.00","manufacturing industry",1,"high"
139,"Grupa Pracuj","119515.00","109695.00","29.60","10.50","185151.00","technology and engineering",1,"high"
140,"Harper","3385.10","-430.10","0.10","0.02","5362.80","chemicals and health products",0,"high"
141,"Helio","15369.00","-1134.00","9.20","5.30","28752.00","agriculture and food industry",1,"middle"
142,"Herkules","-2400.00","2240.00","-0.08","-0.03","1952.00","real estate and construction",0,"low"
143,"Huuuge","19813.00","21920.00","0.40","0.34","24728.00","technology and engineering",0,"high"
144,"IDM","113.21","462.44",NULL,"0.42","-235.51","financial and insurance",0,"middle"
145,"IFirma","7573.00","924.00","44.60","26.80","9222.00","technology and engineering",1,"middle"
146,"IMCompany","51577.00","-32226.00","25.50","14.40","64696.00","agriculture and food industry",1,"high"
147,"Imperio","315.00","-125.00","0.08","0.07","-108.00","financial and insurance",0,"middle"
148,"IMS","1029.00","-1871.00","0.20","0.11","3023.00","communication technologies and media",0,"high"
149,"INC","2737.00","-6235.00","-0.03","-0.02","605.00","financial and insurance",0,"middle"
150,"ING Bank Śląski","2149000.00","467000.00","12.20","0.76","3314000.00","financial and insurance",1,"high"
151,"Inpro","6255.00","10454.00","0.10","0.06","10917.00","real estate and construction",0,"high"
152,"Instal","10941.65","-4943.95","0.12","0.08","14841.85","real estate and construction",0,"high"
153,"InterCars","157675.00","62383.00","0.15","0.07","309496.00","transport and motorization",0,"high"
154,"Interbud","256.08","1055.35","-0.25","-0.09","489.88","real estate and construction",0,"low"
155,"Intersport","-49961.00","-380.00",NULL,"-0.26","-10851.00","consumer goods and e-commerce",1,"low"
156,"Introl","4424.00","-2169.00","2.50","0.91","21053.00","manufacturing industry",1,"middle"
157,"IFSA","47.00","7.00","3.20","3.10","-6.00","financial and insurance",1,"low"
158,"Ipopema","-256.00","5448.00","0.07","0.02","293.00","financial and insurance",0,"middle"
